Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Greater,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
fri_c1_100_10.csv,100,10,0.635416667,0.679166667,0.691666667,0.657293717,0.606018196,0.604648342,0.6,0.583333333,0.566666667,0.712641835,0.697627078,0.684139053,Increased,Decreased,Decreased,Decreased,2,3,1,6,3,3,FALSE,2,3,1,3,3,0
fri_c1_100_5.csv,100,5,0.6671875,0.7546875,0.678125,0.620612577,0.565457299,2.014296405,0.61875,0.66875,0.63125,0.681063637,0.638540491,1.25839249,Decreased,Decreased,Increased,Increased,1,6,1,8,0,8,FALSE,1,4,3,3,5,0
fri_c1_100_50.csv,100,50,0.6,0.7140625,0.7078125,0.660115711,0.581002377,2.959023431,0.45625,0.46875,0.49375,0.748806827,0.733926147,3.150099047,Decreased,Increased,Increased,Increased,5,3,0,8,4,4,FALSE,4,2,2,4,4,0
fri_c1_250_10.csv,250,10,0.707857143,0.735714286,0.686428571,0.582591423,0.552107394,0.606777745,0.651428571,0.642857143,0.677142857,0.633998394,0.621585974,0.621410404,Decreased,Increased,Increased,Decreased,1,6,0,7,0,7,FALSE,6,1,0,3,4,0
fri_c1_250_25.csv,250,25,0.695,0.7375,0.670625,0.596658796,0.558468685,0.606654257,0.595,0.61,0.615,0.658973269,0.656311616,0.658554345,Decreased,Increased,Increased,Increased,1,7,0,8,0,8,FALSE,3,5,0,5,3,0
fri_c1_250_5.csv,250,5,0.728333333,0.8025,0.7375,0.576253106,0.492801944,0.565563689,0.713333333,0.79,0.736666667,0.593231127,0.508053263,0.552427943,Decreased,Decreased,Increased,Increased,0,6,0,6,1,5,FALSE,1,5,0,2,4,0
fri_c1_250_50.csv,250,50,0.735,0.844166667,0.760833333,0.558970864,0.461061517,0.511101112,0.526666667,0.563333333,0.556666667,0.701543758,0.70157821,0.700152258,Decreased,Decreased,Increased,Decreased,0,6,0,6,1,5,FALSE,3,2,1,4,2,0
fri_c2_100_10.csv,100,10,0.748214286,0.791071429,0.739285714,0.574352592,0.519922176,0.558264732,0.685714286,0.671428571,0.671428571,0.608347007,0.59742994,0.593157266,Decreased,Decreased,Increased,Decreased,3,4,0,7,3,4,FALSE,1,5,1,4,3,0
fri_c2_100_5.csv,100,5,0.6703125,0.709375,0.665625,0.614743762,0.582342215,5.801018395,0.66875,0.65625,0.68125,0.625579618,0.62030033,4.438551649,Decreased,Increased,Increased,Increased,1,4,3,8,1,7,FALSE,2,1,5,2,6,0
fri_c2_100_50.csv,100,50,0.839285714,0.9,0.844642857,0.472340993,0.366411675,0.42349661,0.664285714,0.692857143,0.735714286,0.608484413,0.586934345,0.565551145,Decreased,Increased,Increased,Decreased,0,6,1,7,1,6,FALSE,5,1,1,5,2,0
fri_c2_250_10.csv,250,10,0.755,0.8125,0.74625,0.534149319,0.466297321,0.548378587,0.725,0.745,0.72,0.544189222,0.506814942,0.527891077,Decreased,Decreased,Increased,Increased,0,4,0,4,1,3,FALSE,2,2,0,2,2,0
fri_c2_250_25.csv,250,25,0.7175,0.739166667,0.679166667,0.556548908,0.531081513,1.527737608,0.63,0.63,0.61,0.639031579,0.649476022,1.30069073,Decreased,Decreased,Increased,Increased,2,4,0,6,1,5,FALSE,3,3,0,3,3,0
fri_c3_100_10.csv,100,10,0.62,0.7175,0.6075,0.642574894,0.590420973,0.628350127,0.61,0.62,0.62,0.67265985,0.663794076,0.657314265,Decreased,Increased,Increased,Decreased,0,5,0,5,0,5,FALSE,2,2,1,3,2,0
fri_c3_100_25.csv,100,25,0.585,0.765,0.68,0.688579607,0.593498492,0.611802578,0.5,0.53,0.52,0.731293392,0.718105876,0.730019236,Decreased,Decreased,Increased,Increased,0,4,1,5,2,3,FALSE,2,2,1,3,2,0
fri_c3_100_5.csv,100,5,0.658333333,0.725,0.629166667,0.629299806,0.589375926,4.172434244,0.683333333,0.677777778,0.616666667,0.626753655,0.618576467,6.43451888,Decreased,Decreased,Increased,Increased,1,8,0,9,0,9,FALSE,2,6,1,1,8,0
fri_c3_100_50.csv,100,50,0.685714286,0.814285714,0.753571429,0.616520166,0.511879772,0.560054149,0.471428571,0.521428571,0.521428571,0.714446144,0.711459415,0.731937417,Decreased,Same,Increased,Increased,0,7,0,7,1,6,FALSE,3,2,2,2,5,0
fri_c3_250_10.csv,250,10,0.587,0.695,0.66,0.658105981,0.607856083,0.62846173,0.58,0.616,0.624,0.688871205,0.672165763,0.675203979,Decreased,Increased,Increased,Increased,2,3,0,5,2,3,FALSE,2,3,0,3,2,0
fri_c3_250_5.csv,250,5,0.730625,0.739375,0.681875,0.561109904,0.538621042,0.614682831,0.7475,0.7425,0.6925,0.548681878,0.527941287,0.610902406,Decreased,Decreased,Increased,Increased,1,7,0,8,0,8,FALSE,1,6,1,1,7,0
fri_c3_250_50.csv,250,50,0.758,0.802,0.731,0.554558706,0.507128054,0.539097071,0.592,0.58,0.6,0.653690946,0.665125358,0.676145434,Decreased,Increased,Increased,Increased,0,5,0,5,2,3,FALSE,3,2,0,1,4,0
fri_c4_100_10.csv,100,10,0.5265625,0.6484375,0.61875,0.691495925,0.622915842,0.660032652,0.49375,0.60625,0.5875,0.688400842,0.645267881,0.665613912,Decreased,Decreased,Increased,Increased,2,5,1,8,2,6,FALSE,3,5,0,2,6,0
fri_c4_100_100.csv,100,100,0.669642857,0.8375,0.603571429,0.603304863,0.5230755,0.633034727,0.514285714,0.521428571,0.471428571,0.711073101,0.714650742,0.757961861,Decreased,Decreased,Increased,Increased,0,7,0,7,0,7,FALSE,3,4,0,2,5,0
