Dataset,Training_Type,CMC_Label,Training+CMC,S3_Val_mean,Standalone,S1_Val_mean,Delta,Delta_Val
MNIST,ERM,Correct_1,98.412,98.19833333400001,97.828,97.62000000200001,0.5840000000000032,0.5783333319999997
MNIST,ERM,Correct_10,98.258,98.175000002,97.828,97.62000000200001,0.4299999999999926,0.5549999999999926
MNIST,RWP,Any_1,98.45,98.325,98.42666666666666,98.30694444277778,0.023333333333340533,0.01805555722222607
MNIST,RWP,Any_10,98.35666666666667,98.24444444444445,98.42666666666666,98.30694444277778,-0.06999999999999318,-0.06249999833332254
MNIST,RWP,Correct_1,98.42,98.325,98.42666666666666,98.30694444277778,-0.006666666666660603,0.01805555722222607
MNIST,RWP,Correct_10,98.54666666666667,98.41111111111111,98.42666666666666,98.30694444277778,0.12000000000000455,0.10416666833333466
MNIST,SAM,Any_1,98.08999999999999,98.18611111111112,98.14333333333333,98.24166666666666,-0.05333333333334167,-0.055555555555542924
MNIST,SAM,Any_10,98.32666666666667,98.41111111111111,98.14333333333333,98.24166666666666,0.18333333333333712,0.1694444444444514
MNIST,SAM,Correct_1,98.12333333333333,98.22500000000001,98.14333333333333,98.24166666666666,-0.01999999999999602,-0.01666666666665151
MNIST,SAM,Correct_10,98.10333333333334,98.28888888888889,98.14333333333333,98.24166666666666,-0.03999999999999204,0.04722222222223138
SVHN,AWP,Any_1,96.18802499666667,95.52931540666667,95.99403298583333,95.33592701333333,0.19399201083334106,0.19338839333333624
SVHN,AWP,Any_10,96.07790411666667,95.54069119333333,95.99403298583333,95.33592701333333,0.08387113083334441,0.20476417999999796
SVHN,AWP,Correct_1,96.58625281666666,95.95932018,95.99403298583333,95.33592701333333,0.5922198308333293,0.6233931666666734
SVHN,AWP,Correct_10,95.90375947666666,95.42465815666667,95.99403298583333,95.33592701333333,-0.09027350916666421,0.08873114333333376
SVHN,ERM,Any_1,94.271665642,93.694628354,94.245159804,93.539007575,0.02650583800000561,0.15562077900000304
SVHN,ERM,Any_10,94.52519975599999,93.899392534,94.245159804,93.539007575,0.28003995199999565,0.360384959000001
SVHN,ERM,Correct_1,94.36385986600001,93.60043683,94.245159804,93.539007575,0.11870006200001626,0.06142925500000729
SVHN,ERM,Correct_10,94.43070067599999,93.706914204,94.245159804,93.539007575,0.18554087199999003,0.16790662900000086
SVHN,RWP,Any_1,94.48499283000001,93.83659818333332,94.33133579258963,93.77744408733487,0.15365703741038317,0.05915409599845134
SVHN,RWP,Any_10,94.60919893464454,93.8639000750802,94.33133579258963,93.77744408733487,0.2778631420549118,0.08645598774532459
SVHN,RWP,Correct_1,94.65529604666666,93.99130889666667,94.33133579258963,93.77744408733487,0.3239602540770363,0.2138648093317954
SVHN,RWP,Correct_10,94.4657856996517,93.86162491752555,94.33133579258963,93.77744408733487,0.13444990706207705,0.08418083019067524
SVHN,SAM,Any_1,95.39284982585536,94.51914545082248,95.41845933210409,94.4713671421746,-0.025609506248727598,0.04777830864787802
