Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
SVHN,MisCls_Correct,2,0,0.0011583559394140013,0.0,0.0011583559394140015,1000,1,95.76145380087023,93.54992833253702,1
SVHN,MisCls_Correct,3,0,0.005267916792157855,0.0,0.005267916792157855,1000,1,95.72732701987886,93.3383386799536,1
SVHN,MisCls_Correct,4,0,0.048877741049499705,0.0,0.048877741049499705,1000,1,95.56522481016978,93.70008873114463,21
SVHN,MisCls_Correct,5,0,0.04289677965260067,0.0,0.042896779652600685,1000,1,95.34681341182493,93.74104156712852,7
EMNIST,MisCls_Any,2,0,0.14052125373593402,0.0,0.14052125373593402,1000,10,0.11017628205128205,0.23237179487179488,539
EMNIST,MisCls_Any,3,0,0.09562566422700691,0.0,0.09562566422700691,1000,10,0.24138621794871795,0.3125,415
EMNIST,MisCls_Any,4,0,0.1566101586917126,0.0,0.15661015869171258,1000,10,0.13020833333333331,0.17227564102564102,776
EMNIST,MisCls_Any,5,0,0.24735627781857888,0.0,0.24735627473250615,1000,10,0.11117788461538461,0.22836538461538464,798
Caltech101,MisCls_Correct,1,0,0.5913302740043045,0.0,0.5913302740043045,1000,1,99.8655397618133,88.54727132974635,3
Caltech101,MisCls_Correct,2,0,1.6242414295055738,0.0,1.6242414295055738,1000,1,99.15482135996928,89.23904688700999,26
Caltech101,MisCls_Correct,3,0,3.239741654438451,0.0,3.2397416334618443,1000,1,99.59661928543989,90.31514219830899,7
Caltech101,MisCls_Correct,4,0,0.7013640883353451,0.0,0.7013640883353451,1000,1,99.9615827890895,89.39277478862412,1
Caltech101,MisCls_Correct,5,0,1.2055938001879631,0.0,1.2055938001879631,1000,1,99.94237418363426,88.47040737893927,1
Food101,MisCls_Any,2,0,1.1347285033090395,0.0,1.1347285033090346,1000,10,96.31666666666666,68.60000000000001,24
Food101,MisCls_Any,3,0,0.05936808552482141,0.034618369585309415,0.09398645511013082,1000,10,65.41666666666667,53.800000000000004,23
Food101,MisCls_Any,4,0,0.4245232534653198,0.0,0.4245232534653198,1000,10,86.18333333333334,65.46666666666667,24
