Dataset,Run,Training_Type,Method,CMC_Type,Misclassification_Count,Gurobi_Samples,Stage,Checkpoint,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,1,AWP,CMC,Correct,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N500/Run1_full_checkpoint.pth,0.1905124193906784,94.95,0.27555662270784376,91.18,0.2859943236351013,90.78
CIFAR10,1,AWP,CMC,Correct,1,500,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N500/Run1_full_checkpoint_Resume.pth,0.02256617724597454,99.765,0.14546911926865577,94.88,0.14870723958015442,95.14
CIFAR10,2,AWP,CMC,Correct,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint.pth,0.20149906706809997,94.385,0.30472059326171874,89.66,0.291863292324543,90.83
CIFAR10,2,AWP,CMC,Correct,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint_50.pth,0.03758394076526165,99.3325,0.1658008505821228,94.52,0.15426408295631408,94.89
CIFAR10,2,AWP,CMC,Correct,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N500/Run2_full_checkpoint.pth,0.19994605956077577,94.44,0.3078040577888489,89.71,0.2958388040423393,90.62
CIFAR10,2,AWP,CMC,Correct,1,500,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N500/Run2_full_checkpoint_Resume.pth,0.17557045559883117,94.9525,0.2850437955856323,90.52,0.2758050337553024,91.02
CIFAR10,3,AWP,CMC,Correct,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.19686409928798676,94.6825,0.27440306034088136,91.21,0.2895890009880066,90.63
CIFAR10,3,AWP,CMC,Correct,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.03805891521573067,99.385,0.14644137282371522,95.38,0.15273076429367066,94.92
CIFAR10,3,AWP,CMC,Correct,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N500/Run3_full_checkpoint.pth,0.1981424779176712,94.605,0.2725601870059967,91.51,0.2926718817234039,90.68
CIFAR10,3,AWP,CMC,Correct,1,500,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N500/Run3_full_checkpoint_Resume.pth,0.18297126386165619,95.025,0.269563351726532,91.45,0.2769542944908142,91.04
CIFAR10,1,AWP,CMC,Any,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint.pth,0.19190263485908507,94.85,0.28561187224388124,90.73,0.28713034362792966,90.72
CIFAR10,1,AWP,CMC,Any,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint_50.pth,0.0349663438051939,99.435,0.14692174858748913,95.0,0.1519076862692833,94.84
CIFAR10,1,AWP,CMC,Any,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run1_full_checkpoint.pth,0.1900485563993454,94.925,0.2810167789101601,90.75,0.2833685439348221,90.81
CIFAR10,1,AWP,CMC,Any,1,500,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run1_full_checkpoint_Resume.pth,0.184564555478096,95.545,0.27828640294075013,91.46,0.277671137714386,91.68
CIFAR10,2,AWP,CMC,Any,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint.pth,0.19970732123851775,94.53,0.3041290514945984,90.24,0.2909231919288635,90.68
CIFAR10,2,AWP,CMC,Any,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint_50.pth,0.03776263992190361,99.36,0.16725355105400086,94.46,0.15761583037376403,94.6
CIFAR10,2,AWP,CMC,Any,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run2_full_checkpoint.pth,0.20568019933700563,94.2375,0.31410603866577147,89.52,0.3009215905070305,90.42
CIFAR10,2,AWP,CMC,Any,1,500,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run2_full_checkpoint_Resume.pth,0.17457345151901246,95.1425,0.2826409170150757,90.58,0.2738407247543335,90.94
CIFAR10,3,AWP,CMC,Any,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.19698731398582459,94.7225,0.2731821602344513,91.48,0.29228247213363645,90.58
CIFAR10,3,AWP,CMC,Any,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.038330791017413136,99.3575,0.14552091019153596,95.45,0.14846711328029633,95.16
