Dataset,N_samples,Threshold,Flip_Count,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
chscase_funds.csv,185,3e-05,1,1,0.07132030526776303,0.0,0.0019275758180476495,0.07132030526776303,0.0018636755145968742
chscase_geyser1.csv,222,3e-05,1,1,2.7501246981642495,0.0,0.07432769454497971,2.7501246981642495,0.03636979955237529
chscase_vine2.csv,468,3e-05,1,1,0.501553570076316,0.0,0.013555501893954486,0.501553570076316,0.011047067356067863
corral.csv,160,3e-05,1,1,0.2899997414605677,0.0,0.005471693235105051,0.2899997414605677,0.004816126812428934
cpu.csv,209,3e-05,1,1,0.5633471774767403,0.0,0.00988328381538141,0.5633471774767403,0.007869914133523004
credit-g.csv,1000,3e-05,1,1,2.735025883689276,0.0,0.02509198058430528,2.735025883689276,0.012162866412086526
clean1.csv,476,3e-05,1,1,7.48850763295597,0.0,0.017268455856210414,12.1051875552035,0.0055279963814067745
cleve.csv,303,3e-05,1,1,0.04875382391780564,0.0,0.0006018990607136499,0.04875382391780564,0.0005878594495773992
cloud.csv,108,3e-05,1,1,4.999770277491341,0.0,0.10516665098470503,5.9944991061281865,0.04451000676460315
diggle_table_a2.csv,310,3e-05,1,1,2.384010705210221,0.0,0.03908214270836428,2.384010705210221,0.02018564585870286
disclosure_x_bias.csv,662,3e-05,1,1,0.02897668236917256,0.0,0.0007067483504676234,0.02897668236917256,0.0006969450977962754
disclosure_x_noise.csv,662,3e-05,1,1,0.4144281484646918,0.0,0.010108003621090043,0.4144281484646918,0.008492574002836761
disclosure_x_tampered.csv,662,3e-05,1,1,1.7009941838021616,0.0,0.04148766301956492,1.7009941838021616,0.024530677609749807
disclosure_z.csv,662,3e-05,1,1,0.0121934398047276,0.0,0.0002974009708470146,0.0121934398047276,0.0002956461008256639
fertility.csv,100,3e-05,1,4,1.0000370128946745,0.0,0.015385184813764222,1.0000370128946745,0.010721151535714846
fishcatch.csv,158,3e-05,1,1,0.29544985628266424,0.0,0.0055745255902389474,0.29544985628266424,0.00489606019945632
fri_c0_1000_10.csv,1000,3e-05,1,1,0.8347259234799055,0.0,0.012097477151882688,0.8347259234799055,0.008834376084863038
credit_a.csv,690,3e-05,1,1,0.27704431847325506,0.0,0.00311285751093545,0.27704431847325506,0.0027515119807299815
credit_g.csv,1000,3e-05,1,1,20.932442922501075,0.0,0.19806626069097563,21.589222415316343,0.033511119105257725
crx.csv,690,3e-05,1,1,0.3494305403230764,0.0,0.003926185846326701,0.3494305403230764,0.0033728965976633773
datatrieve.csv,130,3e-05,1,1,4.974002604391932,0.0,0.08154102630150707,4.974002604391932,0.02973544587583321
fri_c0_1000_25.csv,1000,3e-05,1,1,0.6524270962369806,0.0,0.005057574389433958,0.6524270962369806,0.003900962470027247
fri_c0_1000_5.csv,1000,3e-05,1,1,0.13643883917674265,0.0,0.0027844661056478093,0.13643883917674265,0.002613604377421419
fri_c0_1000_50.csv,1000,3e-05,1,1,0.7950098884661226,0.0,0.003471658901598789,0.7950098884661226,0.0025578969895017067
fri_c0_100_10.csv,100,3e-05,1,1,0.27569655393953324,0.0,0.003995602231007728,0.27569655393953324,0.003535108391850672
fri_c0_100_25.csv,100,3e-05,1,1,1.0523848001915932,0.0,0.008158021706911576,1.0523848001915932,0.0055892240346882005
fri_c0_100_5.csv,100,3e-05,1,1,1.7925563336770705,0.0,0.036582782319940214,1.7925563336770705,0.021179482674386962
fri_c0_100_50.csv,100,3e-05,1,1,7.748814578152892,0.0,0.03383761824520914,7.748814578152892,0.009516252886455634
fri_c0_250_10.csv,250,3e-05,1,1,0.059760991767711096,0.0,0.0008661013299668275,0.059760991767711096,0.0008415626578457402
fri_c0_250_25.csv,250,3e-05,1,1,53.41263883898409,0.0,0.5480452097478102,70.69783205746752,0.06684824960524671
fri_c0_250_5.csv,250,3e-05,1,1,0.0061130227999346845,0.0,0.00012475556734560582,0.0061130227999346845,0.00012438353243093836
fri_c0_250_50.csv,250,3e-05,1,1,0.45606767377651003,0.0,0.001991561894220568,0.45606767377651003,0.001642130349913451
fri_c0_500_10.csv,500,3e-05,1,1,0.34326233467131645,0.0,0.004974816444511833,0.34326233467131645,0.004285988155205089
fri_c0_500_25.csv,500,3e-05,1,1,0.21393226725241957,0.0,0.0016583896686234074,0.21393226725241957,0.0015039584799041439
fri_c0_500_5.csv,500,3e-05,1,1,0.03624143140273255,0.0,0.0007396210490353582,0.03624143140273255,0.0007267978382528018
fri_c0_500_50.csv,500,3e-05,1,1,0.9517715988569868,0.0,0.0041562078552706844,0.9517715988569868,0.002924519057499131
fri_c1_1000_10.csv,1000,3e-05,1,1,0.0901653540348947,0.0,0.0013067442613752854,0.0901653540348947,0.0012519335325058556
fri_c1_1000_25.csv,1000,3e-05,1,1,1.9900400857640412,0.0,0.015426667331504195,1.9900400857640412,0.00852674263772335
fri_c1_1000_5.csv,1000,3e-05,1,1,0.03444370100634273,0.0,0.0007029326735988313,0.03444370100634273,0.0006913367257843639
fri_c1_1000_50.csv,1000,3e-05,1,1,117.2525434840581,0.0,1.7169265910814029,393.17618935764125,0.3069106789002485
fri_c1_100_10.csv,100,3e-05,1,1,0.014526933244452995,0.0,0.00021053526441236223,0.014526933244452995,0.00020904254526898924
